Filename_Original;Es_Moto_o_Motocarguero;Tipo_Contenido;Confianza_Global;Identificacion_Repuesto;Componente_Taxonomia;Sistema;SubSistema;Caracteristicas_Observadas;Compatibilidad_Probable_Texto;Compatibilidad_Probable_JSON;Funcion;Nombre_Comercial_Catalogo;Tags_Sugeridos;Notas_Sobre_Textos_Grabados;Necesita_Modelo_Grande
(11).jpg;True;repuesto_moto;0.85;Tapa de balancines;Tapa motor;Motor;Culata;Par de tapas redondas metálicas con acabado cromado y base negra, con ranuras decorativas y orificios para tornillos;Motos de baja a media cilindrada con motor de 4 tiempos y tapa de balancines redonda;[{'marca': 'GENERICA', 'modelo': 'Motos utilitarias 100-150cc', 'cilindraje': '100-150', 'posicion': 'Superior motor', 'lado': 'N/A'}];Protege y cubre el conjunto de balancines en la culata del motor, evitando la entrada de polvo y suciedad, y permite la lubricación interna.;Tapa balancines cromada moto 100-150cc;Motor, Tapa balancines, Culata, Moto utilitaria, 100cc, 125cc, 150cc;No se observan textos grabados visibles en la imagen.;False
(12).jpg;True;repuesto_moto;0.85;Disco de freno delantero;Disco de freno;Frenos;Freno delantero de disco;Disco metálico perforado con orificios para disipación de calor, acabado en metal pulido, diseño estándar para freno de disco;Motos con freno delantero de disco, común en motos deportivas y utilitarias de cilindrada media;[{'marca': 'GENERICA', 'modelo': 'Motos deportivas y utilitarias', 'cilindraje': '150-250', 'posicion': 'Delantero', 'lado': 'N/A'}];El disco de freno es la superficie contra la cual las pastillas de freno presionan para detener o reducir la velocidad de la moto mediante fricción.;Disco freno delantero moto 150-250cc;Frenos, Disco de freno, Freno delantero, Moto deportiva, Moto utilitaria, 150cc, 250cc;Se observa texto 'BLUE' en la cubierta del disco, no se usa para nombre comercial ni SKU.;False
(13).jpg;True;repuesto_moto;0.85;Tapa de tuerca o tapón hexagonal cromado;Tapón;Motor;Tapón de motor o tapa de tuerca;Tapón metálico cromado con forma hexagonal para llave, aro de goma negro para sellado;Motos y motocargueros con tuercas o tornillos hexagonales que requieren protección y sellado;[{'marca': 'GENERICA', 'modelo': 'Motos utilitarias y motocargueros estándar', 'cilindraje': '100-200', 'posicion': 'N/A', 'lado': 'N/A'}];Protege y cubre la cabeza de una tuerca o tornillo hexagonal, evitando la entrada de polvo, agua o suciedad y mejorando la estética.;Tapón cromado hexagonal con sello goma;Tapón, Tapa tuerca, Protector tuerca, Cromado, Goma sellado, Moto, Motocarguero;No se observan textos grabados visibles en la imagen;False
(2).jpg;True;repuesto_moto;0.85;Manillar con abrazaderas y visor de tablero digital;Manillar;Dirección;Manillar y soporte de manillar;Manillar metálico pintado en color gris claro, abrazaderas negras con tornillos visibles, tablero digital con pantalla azul retroiluminada, tornillos cromados, tapa de tanque con acabado metálico y detalles en negro;Motos deportivas o utilitarias con manillar tubular y tablero digital integrado;[{'marca': 'GENERICA', 'modelo': 'Motos deportivas o utilitarias 150-250cc', 'cilindraje': '150-250', 'posicion': 'Delantero', 'lado': 'N/A'}];El manillar permite al conductor controlar la dirección de la motocicleta, mientras que el tablero digital muestra información vital como velocidad, nivel de combustible y otros indicadores.;Manillar con tablero digital moto 150-250cc;Manillar, Dirección, Tablero digital, Moto deportiva, Moto utilitaria, Control de dirección;Se observa un logo grabado en la abrazadera del manillar que parece un ala estilizada, posiblemente de marca reconocida, y textos pequeños en la tapa del tanque que no se usan para nombre comercial.;False
(3).jpg;True;repuesto_moto;0.85;Eje de transmisión o eje secundario;Eje;Transmisión;Eje secundario o eje de salida;Metal, forma cilíndrica alargada con varias secciones de diferente diámetro, acabado mate, sin resortes ni conectores visibles;Motos utilitarias y deportivas de 100 a 250cc con transmisión manual;[{'marca': 'GENERICA', 'modelo': 'Motos utilitarias y deportivas', 'cilindraje': '100-250', 'posicion': 'N/A', 'lado': 'N/A'}];Este eje transmite la potencia desde la caja de cambios hacia la rueda trasera, permitiendo el movimiento de la moto.;Eje transmisión moto 100-250cc;Transmisión, eje, eje secundario, moto, 100cc, 125cc, 150cc, 200cc, 250cc;No se observan textos grabados visibles en la imagen para análisis adicional.;False
-1 (2).jpg;True;repuesto_moto;0.85;Protector o tapa para manillar o manubrio;Accesorio de manillar;Dirección;Protector de manillar;Piezas metálicas de colores (naranja, plateado, rojo y azul), con orificios para tornillos, forma rectangular con bordes biselados, acabado anodizado brillante;Accesorios universales para manillares de motos deportivas o utilitarias, generalmente para tapas centrales del manillar;[{'marca': 'GENERICA', 'modelo': 'Motos deportivas o utilitarias con manillar estándar', 'cilindraje': '100-250', 'posicion': 'Delantero', 'lado': 'N/A'}];Esta pieza sirve para cubrir y proteger la parte central del manillar, además de aportar un acabado estético personalizado a la moto.;Tapa decorativa manillar moto 100-250cc;Accesorios, Manillar, Tapa manillar, Protector manillar, Moto deportiva, Moto utilitaria;Se observan códigos y textos pequeños en las cajas, posiblemente números de referencia o códigos de fabricación, no se usan para nombre comercial.;False
-1 (3).jpg;True;repuesto_moto;0.85;Tuerca de seguridad para eje de rueda;Tuerca de seguridad;Transmisión;Eje de rueda;Dos piezas metálicas circulares, una con muescas o pestañas para encajar, acabado metálico oscuro, diseño para ajuste seguro en eje;Motos utilitarias y deportivas con eje de rueda estándar, probablemente 100-250cc;[{'marca': 'GENERICA', 'modelo': 'Motos utilitarias y deportivas', 'cilindraje': '100-250', 'posicion': 'Ambos', 'lado': 'N/A'}];Esta pieza asegura que el eje de la rueda no se afloje durante el uso, manteniendo la rueda fija y segura en su lugar.;Tuerca seguridad eje rueda moto 100-250cc;Tuerca, Seguridad, Eje de rueda, Moto, 100cc, 125cc, 250cc;No se observan textos grabados visibles en las piezas;False
-1 (4).jpg;True;repuesto_moto;0.85;Manilla o palanca de freno de mano para motocicleta;Palanca de freno;Frenos;Freno delantero de disco;Palanca metálica con acabado pintado en verde y negro, diseño ergonómico, incluye tornillo de ajuste o sujeción, empaques plásticos en empaque individual;Motos deportivas o utilitarias con freno delantero de disco, cilindraje medio a alto;[{'marca': 'GENERICA', 'modelo': 'Motos deportivas o utilitarias', 'cilindraje': '150-250', 'posicion': 'Delantero', 'lado': 'Derecho'}];Permite al conductor accionar el freno delantero de la motocicleta para reducir la velocidad o detenerla.;Palanca freno delantero moto deportiva 150-250cc;Frenos, Palanca de freno, Freno delantero, Moto deportiva, 150cc, 250cc;No se observan textos grabados visibles en la palanca, los empaques tienen etiquetas con números y colores que podrían indicar modelos o referencias internas.;False
-1 (5).jpg;True;repuesto_moto;0.85;Tapas de bocina para motocicleta;Bocina;Eléctrico;Bocina;Dos tapas circulares de plástico color amarillo dorado con detalles en azul, diseño ventilado, empaquetadas en blister transparente con fondo de cartón;Tapas para bocinas estándar de motos utilitarias y deportivas de cilindraje pequeño a mediano;[{'marca': 'GENERICA', 'modelo': 'Motos utilitarias y deportivas', 'cilindraje': '100-250', 'posicion': 'Delantero', 'lado': 'N/A'}];Protege y cubre la bocina de la motocicleta, permitiendo la salida del sonido y evitando daños por polvo o impactos menores;Tapas bocina moto doradas x2;Bocina, Tapas bocina, Repuesto moto, Accesorios moto, Eléctrico moto;Se observa texto en el empaque con marca ADX y algunos números, no se usan para nombre comercial;False
-1 (7).jpg;True;repuesto_moto;0.85;Palanca de cambio de velocidades;Palanca de cambio;Transmisión;Palanca de cambios manual;Metal, forma alargada con gancho en un extremo y orificio para fijación en el otro, acabado mate, sin resortes ni conectores visibles;Motos utilitarias y deportivas con cambio manual, cilindraje medio y pequeño;[{'marca': 'GENERICA', 'modelo': 'Motos utilitarias y deportivas', 'cilindraje': '100-250', 'posicion': 'Izquierdo', 'lado': 'Izquierdo'}];Permite al conductor cambiar las velocidades de la moto mediante el pie, facilitando el control de la transmisión.;Palanca cambio moto universal 100-250cc;Transmisión, Palanca de cambio, Cambio manual, Moto utilitaria, 100cc, 125cc, 150cc, 250cc;No se observan textos grabados visibles en la pieza.;False
