Filename_Original;Es_Moto_o_Motocarguero;Tipo_Contenido;Confianza_Global;Identificacion_Repuesto;Componente_Taxonomia;Sistema;SubSistema;Caracteristicas_Observadas;Compatibilidad_Probable_Texto;Compatibilidad_Probable_JSON;Funcion;Nombre_Comercial_Catalogo;Tags_Sugeridos;Notas_Sobre_Textos_Grabados;Necesita_Modelo_Grande
 (2).jpg;False;herramienta;0.95;Juego de llaves de vaso;Herramienta de mantenimiento;General;Mantenimiento;Conjunto de llaves de vaso con carraca;Universal para mantenimiento de motocicletas;[];Sirve para apretar o aflojar tornillos y tuercas;Juego de llaves de vaso;herramienta, llave de vaso, mantenimiento;No aplica;False
(10).jpg;False;repuesto_moto;0.95;Lubricante de cadena;Lubricante;Transmisión;Cadena;Envase cilíndrico con aplicador;Motos con cadena de transmisión;[];Lubricar y proteger la cadena de transmisión;Lubricante de cadena;lubricante, cadena, moto;No se observan códigos específicos;False
(11).jpg;True;repuesto_moto;0.95;Tapón de gasolina;Tapón de combustible;Sistema de combustible;Tanque de combustible;Tapones redondos con diseño estriado en la parte superior y borde negro con tornillos visibles;Modelos de motocicletas personalizadas o de estilo cruiser;[];Cubre y sella la abertura del tanque de combustible;Tapón de gasolina;tapón de gasolina, combustible, tanque;Ningún texto visible;False
(12).jpg;True;repuesto_moto;0.95;Candado de disco;Dispositivo de seguridad;Seguridad;Antirrobo;Dispositivo pequeño, similar a una pinza, colocado en el disco de freno;Motos con frenos de disco;[];Evita el movimiento de la rueda para prevenir robos;Candado de disco;seguridad, candado, antirrobo;Código BUD;False
(13).jpg;True;repuesto_moto;0.95;Tapón de drenaje de aceite con o-ring;Tapón de drenaje;Motor;Lubricación;Tapón metálico hexagonal con anillo de goma;Modelos comunes de motocicletas;[];Permite el drenaje y sellado del aceite del motor;Tapón de drenaje de aceite con o-ring;tapón, drenaje, aceite, motor;Ningún código visible;False
(2).jpg;True;repuesto_moto;0.95;Panel de instrumentos digital;Panel de control;Electrónica;Instrumentación;Pantalla digital con velocímetro;Modelos deportivos de Honda;[];Muestra información de velocidad y estado de la moto;Panel de instrumentos digital;panel, display, Honda, motocicleta;Logo visible;False
(3).jpg;True;repuesto_moto;0.95;Eje de transmisión;Transmisión;Transmisión;Eje;Eje metálico con extremos de engranaje;Motos de transmisión por eje;[];Transmite el torque al eje motriz;Eje de transmisión;eje, transmisión, moto;Ningún código visible;False
(4).jpg;False;repuesto_moto;0.2;No corresponde;No corresponde;No corresponde;No corresponde;Contiene botellas de productos de limpieza;No aplica;[];Productos de limpieza y mantenimiento;No corresponde;limpieza, mantenimiento, cuidado;Textos promocionales de productos;False
(5).jpg;False;repuesto_moto;0.95;Juego de herramientas con matraca y dados;Herramientas;General;Mantenimiento;Conjunto de dados y matraca en estuche rojo;Universal para mantenimiento de motocicletas;[];Sirve para ajustes y reparaciones mecánicas;Juego de herramientas con matraca y dados;herramientas, matriz, dados, mantenimiento;Códigos y marcas visibles en los dados;False
(6).jpg;False;repuesto_moto;0.95;Destornillador de punta Phillips;Herramienta manual;Mantenimiento;Herramientas de taller;Mango ergonómico, punta Phillips;No aplica;[];Ajustar o aflojar tornillos;Destornillador de punta Phillips;destornillador, herramienta;RADAER RL 4082 CR-V;False
(7).jpg;False;repuesto_moto;0.95;Punta tipo hexagonal con vaso;Herramienta;General;Herramientas de servicio;Punta hexagonal con adaptador de vaso;Usada para mantenimiento de motos en general;[];Utilizada para ajustar o aflojar tornillos y tuercas hexagonales;Punta tipo hexagonal con vaso;herramienta, adaptador;Ninguno visible;False
(8).jpg;False;repuesto_moto;0.5;Rollo de filamento;Envase;Embalaje;Protección;Rollo de filamento plástico, posiblemente para embalaje;No aplica;[];Usado para envolver y proteger objetos;Rollo de filamento;filamento, embalaje, protección;Ninguno visible;False
(9).jpg;False;repuesto_moto;0.95;Juego de reparación de roscas;Reparación de roscas;Herramientas;Mantenimiento;Juego de herramientas con insertos helicoidales, brocas y llaves en L;Universal para múltiples aplicaciones de reparación;[];Restaurar y reparar roscas dañadas;Juego de reparación de roscas;helicoidal, reparación, roscas;Ninguno;False
-1 (10).jpg;False;repuesto_moto;0.95;Cepillo de limpieza;Herramienta de mantenimiento;Herramientas;Limpieza;Conjunto de cepillos con diferentes tipos de cerdas;General para mantenimiento de motos;[];Para limpiar piezas y componentes de la moto;Cepillo de limpieza;cepillo, mantenimiento, limpieza;N/A;False
-1 (11).jpg;False;herramienta_taller;0.95;No aplica;Máquina desarmadora de llantas;No aplica;No aplica;Equipos de taller, desarmadora de llantas, tanque de aire, prensa hidráulica;No aplica;[];Equipos usados en talleres para mantenimiento de neumáticos y reparaciones;No aplica;taller, herramienta, llantas;No visible en detalle;False
-1 (12).jpg;False;kit_herramientas;0.95;Juego de herramientas;Herramientas;Mantenimiento;General;Set de llaves y accesorios en estuche;Utilizable para mantenimiento de motos;[];Realizar reparaciones y mantenimiento;Juego de herramientas;herramientas, kit mecánico;N/A;False
-1 (2).jpg;True;repuesto_moto;0.95;Tapa de depósito de líquido de frenos;Tapa de depósito;Frenos;Hidráulico;Tapas de diferentes colores en empaques;Motos deportivas, scooters;[];Sella el depósito de líquido de frenos;Tapa de depósito de líquido de frenos;tapa, frenos, depósito;Codigos visibles;False
-1 (3).jpg;True;repuesto_moto;0.9;-1 (3);-1;General;;;;[];;-1 (3);;;False
-1 (4).jpg;True;repuesto_moto;0.95;Maneta ajustable;Maneta de freno;Sistema de frenos;Control de frenos;Manetas con ajuste, colores variados;Modelos universales o específicos según diseño;[];Permiten accionar los frenos de la moto;Maneta ajustable;freno, maneta, ajuste;No hay códigos visibles claros;False
-1 (5).jpg;True;repuesto_moto;0.95;Tapas de embrague;Tapa de embrague;Transmisión;Embrague;Dos tapas de embrague amarillas con acentos azules;Motos de baja cilindrada de diversas marcas;[];Proteger y sellar el embrague;Tapas de embrague;embrague, tapa, transmisión;No se observan códigos claros;False
-1 (6).jpg;False;herramientas_mecanicas;0.95;Juego de llaves de vaso y herramientas;Herramientas;Mantenimiento;General;Juego de herramientas con llaves de vaso y trinquetes en maletín naranja;Herramientas universales para diversas motos;[];Utilizadas para montaje y desmontaje de componentes;Juego de llaves de vaso y herramientas;herramientas, llaves de vaso, mecánica;No hay textos visibles;False
-1 (7).jpg;False;herramienta;0.95;Llave de tuerca de bujía;Herramienta manual;Mantenimiento;Encendido;Llave metálica en forma de L, con un orificio en un extremo;Motos que usan bujías estándar;[];Se utiliza para ajustar o retirar bujías del motor;Llave de tuerca de bujía;llave, herramienta, bujía;N/A;False
-1 (8).jpg;True;repuesto_moto;0.9;-1 (8);-1;General;;;;[];;-1 (8);;;False
-1 (9).jpg;True;repuesto_moto;0.95;Llave de bujía;Herramientas;Mantenimiento;Encendido;Llave de bujía con múltiples medidas;Motos en general;[];Usada para instalar o retirar bujías;Llave de bujía;herramientas, bujías;CR-V, medidas 8mm, 10mm, 12mm;False
-1.jpg;False;repuesto_moto;0.9;Batería recargable de iones de litio;Batería;Eléctrico;Alimentación eléctrica;Batería cilíndrica de 12V, 1.5Ah;Dispositivos eléctricos de 12V;[];Suministrar energía eléctrica;Batería recargable de iones de litio;batería, iones de litio, 12V;12V, 1.5Ah Li-ion, DL-1305A;False
-10 (2).jpg;False;herramienta_taller;0.95;Alicates de punta larga;Herramienta de mano;N/A;N/A;Alicates con mango verde y negro, punta larga y fina;Usados en mantenimiento general;[];Sujeción y manipulación de objetos en espacios reducidos;Alicates de punta larga;alicates, herramienta, mantenimiento;Heihis;False
-10 (3).jpg;False;repuesto_moto;0.1;Pinzas de punta larga;Herramienta manual;Herramientas;Herramientas de mantenimiento;Pinzas de punta larga con mangos naranjas y negros;No aplica;[];Utilizadas para sujetar, doblar o cortar cables;Pinzas de punta larga;herramienta, pinzas, mantenimiento;Codigos visibles;False
-10 (4).jpg;False;herramienta;0.95;Taladro inalámbrico;Taladro;Herramientas;Perforación;Taladro de color amarillo y negro con batería integrada;No aplica;[];Perforar materiales diversos;Taladro inalámbrico;taladro, herramienta, inalámbrico;Texto no identificable;False
-10.jpg;True;repuesto_moto;0.95;Escobillas de carbón;Escobillas de carbón;Sistema eléctrico;Motor de arranque;Conjunto de escobillas de carbón con muelles y terminales;Compatibles con varios modelos de motores de arranque;[];Conducen electricidad al motor de arranque;Escobillas de carbón;escobillas, motor de arranque, sistema eléctrico;No hay códigos visibles;False
-100.jpg;False;no_repuesto_moto;0.95;Desconocido;Desconocido;Desconocido;Desconocido;Estación de servicio o dispositivo de medición de presión, color rojo y negro;No aplica;[];Monitorización de presión o suministro de aire;Desconocido;estación, aire, presión;Desconocido;False
-101.jpg;False;herramienta;0.95;Aceitera manual;Herramienta de lubricación;Mantenimiento;Lubricación;Aceitera manual de color rojo con boquilla metálica y manguera flexible.;Aplicable a cualquier tipo de moto para tareas de mantenimiento.;[];Se utiliza para lubricar componentes de difícil acceso.;Aceitera manual;aceitera, lubricación, herramienta de mantenimiento;No se observan códigos visibles;False
