codigo;descripcion;color;empaque;imagen;linea
BLISTER;"{\n \""codigo\"": \""03284\"",\n \""descripcion\"": \""MANILAR";;;;35
PROTAPER;"{\n \""codigo\"": \""04909\"",\n \""descripcion\"": \""MANILAR";;;;35
METAL;"\""codigo\"": \""04909\"",\n \""descripcion\"": \""MANILAR PROTAPER";;;;35
CARBONO;"{\n \""codigo\"": \""04855\"",\n \""descripcion\"": \""MANILAR";;;;47
CARBONO;"{\n \""codigo\"": \""04876\"",\n \""descripcion\"": \""MANILAR";;;;47
RACING;"\""codigo\"": \""04876\"",\n \""descripcion\"": \""MANILAR CARBONO";;;;47
PROTAPER;"""raw"": ""```json\n{\n  \""codigo\"": \""";;;;63
GRIPS;"\"",\n  \""descripcion\"": \""";;;;27
RGV;"\"",\n  \""precio\"": \""\"",\n  \""empaque\"": \""X1\"",\n  \""fotos\"": [\""imagen1\""],\n  \""variantes\"": []\n}\n```""";;;;27
RACING;"\""codigo\"": \""04855\"",\n \""descripcion\"": \""MANILAR CARBONO";;;;47
CAUCHO;"\""descripcion\"": \""MANILAR CARBONO RACING 100%";;;;47
NEGRO;"\""MANILAR CARBONO RACING 100% CAUCHO";;;;47
4855;CARBONO RACING 100% CAUCHO NEGRO;negro;;;47
ROJO;RACING 100% CAUCHO NEGRO 04855;negro;;;47
4863;100% CAUCHO NEGRO 04855 ROJO;negro;;;47
AZUL;CAUCHO NEGRO 04855 ROJO 04863;negro;;;47
APLIQUES;"\""04876\"",\n \""descripcion\"": \""MANILAR CARBONO RACING";;;;47
ROJO;"\""descripcion\"": \""MANILAR CARBONO RACING APLIQUES";;;;47
4876;"\""MANILAR CARBONO RACING APLIQUES ROJO";rojo;;;47
AZUL;CARBONO RACING APLIQUES ROJO 04876;rojo;;;47
4877;RACING APLIQUES ROJO 04876 AZUL;rojo;;;47
GRIS;APLIQUES ROJO 04876 AZUL 04877;rojo;;;47
5317;ROJO 04876 AZUL 04877 GRIS;rojo;;;47
NEGRO;04876 AZUL 04877 GRIS 05317;azul;;;47
SYNERGY;"\"",\n  \""descripcion\"": \""\"",\n  \""precio\"": \""\"",\n  \""empaque\"": \""\"",\n  \""fotos\"": [\""imagen1.jpg\""],\n  \""variantes\"": []\n}\n```""";;;;51
SYNERGY;"\"",\n  \""descripcion\"": \""\"",\n  \""precio\"": \""\"",\n  \""empaque\"": \""X1\"",\n  \""fotos\"": [\""imagen1.jpg\""],\n  \""variantes\"": []\n}\n```""";;;;59
SYNERGY;"\"",\n  \""descripcion\"": \""Puños Pro Taper Synergy\"",\n  \""precio\"": \""\"",\n  \""empaque\"": \""2 piezas\"",\n  \""fotos\"": [\""imagen1.jpg\""],\n  \""variantes\"": []\n}\n```""";;;;63
BARS;"SYNERGY\"",\n \""descripcion\"": \""GRIPS 7/8\\\"" MX";;;;67
FULL;"\""descripcion\"": \""GRIPS 7/8\\\"" MX BARS";;;;67
FULL;"\""codigo\"": \""PROTAPER SYNERGY\"",\n \""descripcion\"": \""GRIPS";;;;75
PROTAPER;"{\n \""codigo\"": \""03245\"",\n \""descripcion\"": \""DONA";;;;103
COLOR;"\""codigo\"": \""03245\"",\n \""descripcion\"": \""DONA PROTAPER";;;;103
SURTIDO;"\""03245\"",\n \""descripcion\"": \""DONA PROTAPER COLOR";;;;103
AMARILLO;"\""descripcion\"": \""DONA PROTAPER COLOR SURTIDO";;;;103
3245;"\""DONA PROTAPER COLOR SURTIDO AMARILLO";amarillo;;;103
AZUL;PROTAPER COLOR SURTIDO AMARILLO 03245;amarillo;;;103
4388;COLOR SURTIDO AMARILLO 03245 AZUL;amarillo;;;103
ROJA;SURTIDO AMARILLO 03245 AZUL 04388;amarillo;;;103
PROTAPER;"{\n \""codigo\"": \""02311\"",\n \""descripcion\"": \""MANILAR";;;;103
